stock,date,open,close,label_3,label_7,xg3,xg7,log3,log7,open3,close3,open7,close7
VZ,2013-10-15,46.8,46.32,sell,sell,hold,hold,hold,buy,50.01,50.58,50.33,50.71
VZ,2013-10-17,48.57,48.9,hold,hold,buy,buy,hold,buy,50.56,51.14,50.69,50.57
VZ,2013-10-18,49.36,50.01,hold,hold,hold,hold,hold,buy,51.03,50.82,50.62,51.09
VZ,2013-10-21,50.01,50.58,hold,hold,hold,hold,hold,buy,51.04,50.42,51.39,50.53
VZ,2013-10-22,50.56,51.14,sell,sell,hold,hold,hold,buy,50.33,50.71,50.49,50.51
VZ,2013-10-23,51.03,50.82,hold,hold,hold,hold,hold,buy,50.69,50.57,50.79,50.49
VZ,2013-10-24,51.04,50.42,buy,buy,hold,hold,hold,buy,50.62,51.09,50.92,51.08
VZ,2013-10-25,50.33,50.71,sell,sell,hold,hold,hold,buy,51.39,50.53,50.38,50.61
VZ,2013-10-28,50.69,50.57,hold,sell,hold,hold,hold,buy,50.49,50.51,50.55,50.17
VZ,2013-10-29,50.62,51.09,hold,hold,hold,hold,hold,buy,50.79,50.49,50.06,50.2
VZ,2013-10-30,51.39,50.53,sell,sell,hold,hold,hold,buy,50.92,51.08,50.12,49.96
VZ,2013-10-31,50.49,50.51,sell,sell,hold,hold,hold,buy,50.38,50.61,50.01,50.16
VZ,2013-11-01,50.79,50.49,hold,hold,hold,hold,hold,buy,50.55,50.17,49.88,49.99
VZ,2013-11-04,50.92,51.08,sell,sell,hold,hold,hold,buy,50.06,50.2,,
VZ,2013-11-06,50.38,50.61,hold,hold,hold,hold,hold,buy,50.12,49.96,,
VZ,2013-11-07,50.55,50.17,hold,hold,hold,hold,hold,buy,50.01,50.16,,
VZ,2013-11-08,50.06,50.2,hold,hold,hold,hold,hold,buy,49.88,49.99,,
VZ,2013-11-11,50.12,49.96,hold,buy,hold,hold,hold,buy,,,,
VZ,2013-11-12,50.01,50.16,hold,buy,hold,hold,hold,buy,,,,
VZ,2013-11-13,49.88,49.99,buy,buy,hold,hold,hold,buy,,,,
WFC,2016-09-06,50.56,49.99,hold,hold,hold,sell,hold,buy,49.49,48.72,46.12,46.15
WFC,2016-09-07,49.79,49.77,hold,sell,hold,sell,hold,buy,48.37,48.54,45.7,45.43
WFC,2016-09-08,49.81,49.9,hold,hold,sell,sell,hold,buy,47.8,46.96,45.62,46.01
WFC,2016-09-09,49.49,48.72,hold,hold,sell,sell,hold,buy,47.08,46.52,47.15,46.56
WFC,2016-09-12,48.37,48.54,hold,sell,sell,sell,hold,buy,46.12,46.15,46.51,45.83
WFC,2016-09-13,47.8,46.96,hold,hold,sell,hold,hold,buy,45.7,45.43,45.83,45.72
WFC,2016-09-14,47.08,46.52,hold,hold,hold,hold,hold,buy,45.62,46.01,45.5,45.74
WFC,2016-09-15,46.12,46.15,hold,hold,hold,hold,hold,buy,47.15,46.56,45.37,44.88
WFC,2016-09-16,45.7,45.43,buy,buy,hold,hold,hold,buy,46.51,45.83,44.79,45.09
WFC,2016-09-19,45.62,46.01,hold,sell,hold,hold,hold,buy,45.83,45.72,45.36,45.31
WFC,2016-09-20,47.15,46.56,hold,hold,hold,sell,hold,buy,45.5,45.74,45.19,44.37
WFC,2016-09-21,46.51,45.83,buy,sell,hold,hold,hold,buy,45.37,44.88,44.33,44.28
WFC,2016-09-22,45.83,45.72,hold,hold,hold,hold,hold,buy,44.79,45.09,44.12,43.83
WFC,2016-09-23,45.5,45.74,hold,hold,hold,sell,hold,buy,45.36,45.31,43.62,43.75
WFC,2016-09-26,45.37,44.88,buy,hold,hold,hold,hold,buy,45.19,44.37,43.83,44.99
WFC,2016-09-27,44.79,45.09,buy,buy,hold,hold,hold,buy,44.33,44.28,45.18,45.18
WFC,2016-09-28,45.36,45.31,hold,hold,sell,hold,hold,buy,44.12,43.83,45.2,45.33
WFC,2016-09-29,45.19,44.37,buy,buy,hold,hold,hold,buy,43.62,43.75,45.7,45.65
WFC,2016-09-30,44.33,44.28,hold,hold,hold,hold,hold,buy,43.83,44.99,45.8,45.45
WFC,2016-10-03,44.12,43.83,hold,hold,buy,buy,hold,buy,45.18,45.18,45.51,45.32
WFC,2016-10-04,43.62,43.75,hold,sell,buy,buy,hold,buy,45.2,45.33,45.24,44.75
WFC,2016-10-05,43.83,44.99,hold,hold,hold,hold,hold,buy,45.7,45.65,45.17,44.71
WFC,2016-10-06,45.18,45.18,buy,buy,hold,hold,hold,buy,45.8,45.45,44.54,44.5
WFC,2016-10-07,45.2,45.33,sell,sell,hold,hold,hold,buy,45.51,45.32,44.75,44.95
WFC,2016-10-10,45.7,45.65,hold,hold,hold,hold,hold,buy,45.24,44.75,44.86,45.26
WFC,2016-10-11,45.8,45.45,hold,hold,hold,hold,hold,buy,45.17,44.71,,
WFC,2016-10-12,45.51,45.32,hold,hold,hold,hold,hold,buy,44.54,44.5,,
WFC,2016-10-13,45.24,44.75,hold,sell,hold,hold,hold,buy,44.75,44.95,,
WFC,2016-10-14,45.17,44.71,hold,hold,hold,hold,hold,buy,44.86,45.26,,
WFC,2016-10-17,44.54,44.5,sell,hold,hold,hold,hold,buy,,,,
WFC,2016-10-18,44.75,44.95,hold,hold,hold,hold,hold,buy,,,,
WFC,2016-10-19,44.86,45.26,hold,sell,hold,hold,hold,buy,,,,
